order_id,customer_id,product_id,quantity,amount,order_date,status
7ed9de05-3c87-468f-83cb-91d95594400b,b0e8c88a-4836-4277-8521-4f206a881dda,PROD-119,2,432.63,2024-08-28,completed
5fca7599-c600-4284-9918-42d2f526c0df,6cee4005-b996-4511-b623-4dfdc7382519,PROD-172,4,188.08,2025-08-13,shipped
44a292b8-486b-46b6-91a8-003b668c6e8a,8ebe9cb6-bedd-48e3-b557-e9b329a26f3b,PROD-41,3,147.11,2024-05-23,shipped
10a09437-385a-40f9-867a-f625f17afec7,70d2df16-9085-4baa-9ec6-a66098b7c8ad,PROD-96,2,489.63,2025-10-18,refunded
6128dbca-9c5d-4fa8-be50-51a066a3b52f,f62e1f96-8450-43b1-a4b8-df8014a31e47,PROD-107,3,179.06,2024-07-09,pending
ef7a4584-cda1-441e-a481-34e4acf6ee62,9b1f3d47-2e95-4b36-ac5f-253f1af12b2c,PROD-90,5,397.8,2024-03-30,refunded
4269dcee-59a6-4f6a-bd7f-d235a4931397,04c1a952-fed6-45bb-a304-9a64b99e92a8,PROD-191,2,241.52,2024-12-24,refunded
305ece8d-0775-4d71-a464-12851624a8c3,e4c30fbd-e311-4d50-8603-1fb09b0488b1,PROD-40,5,486.43,2025-07-28,shipped
c61a1400-1771-487a-903e-3c5470c97efc,e3d2245f-471f-4d2d-a936-9486ee419d27,PROD-110,5,110.28,2025-05-03,completed
1913c7b3-a635-493d-9394-814820fe82cc,e3264094-67e7-482d-a63c-80b37e78b895,PROD-173,4,38.09,2025-08-09,pending
cf3bcf1a-5558-48a9-b566-e7c3809db74a,08dba9bb-bebd-473a-9c30-0f81cec7b690,PROD-194,3,414.18,2024-04-19,refunded
100767a2-f2f5-4e1f-94a6-a756645cebde,56183257-20b5-4b83-a8fb-8801f547cd51,PROD-37,2,403.74,2024-10-22,completed
93f96d3c-e5d6-4d92-9037-b9cb5f8008ec,7b401af7-2687-4a5a-a339-5cad4fdf859c,PROD-164,4,148.55,2026-01-19,completed
0c8aef53-a413-4f6f-acbd-098fab1e6bc5,ff0b311a-9e61-458a-85d6-6d191c7577da,PROD-112,1,104.89,2025-12-29,refunded
64ddc387-857c-4e81-848c-a1d547fd4278,59cbdc8b-acad-4199-bf8e-830032b5cc46,PROD-83,1,473.86,2024-09-21,refunded
97669dd6-1081-4ead-bb31-87ce22cc66b0,cb406063-b66a-479d-8d7a-e2270cc4e0aa,PROD-67,2,339.35,2025-10-18,pending
fb4d2a19-8831-45ab-99e6-4200d998bae2,c7cb0ad7-1cad-48a6-91cb-b139da088256,PROD-30,5,107.63,2024-11-09,completed
7af683a6-5495-4576-9723-d2209e4d1d3f,a5cef6f7-2569-4497-93cb-1d346113d8b8,PROD-27,1,316.06,2024-05-24,shipped
15a78edf-ee43-4b1b-a032-04a0c03c22c7,99b189be-d4a0-4fb0-9942-e02c3aaf0404,PROD-92,3,223.52,2024-03-18,completed
957e43c3-7aa8-49ef-8ec1-38ab761b3770,955e9b16-07c6-4bf3-afb9-d334cf5ea469,PROD-174,2,414.86,2024-09-17,completed
09694b14-3303-4246-9b55-ed08d7081aeb,f354f27a-88e9-4468-a60a-57debafafa20,PROD-178,4,202.09,2025-12-25,pending
96e5037e-0eec-4e02-ba91-5e22c2c8cc80,3447e5bc-36ff-428f-97de-a0e916071749,PROD-124,5,403.3,2026-01-14,pending
2098d0db-43fd-4bae-966b-35257bc508c3,af50d445-716c-48a2-bbbb-a9c09dc6f1a1,PROD-95,1,208.17,2024-06-24,completed
00159100-93c8-4837-8275-ae73bf2072e7,d3e684a2-d5a2-43b5-b27c-87c54ef306b8,PROD-119,4,36.64,2025-10-31,shipped
bec7589f-5991-4389-abb7-14c891452038,8b2b6b44-3631-4b71-aca7-fbde2d508132,PROD-107,4,383.8,2024-08-26,completed
ec6b6a78-5aaf-4cbd-9f53-07d0d2d7b295,7e84d0cb-77fd-47b1-abf6-3722329b2466,PROD-128,2,83.85,2025-09-18,completed
675bd0ca-a2f3-45e9-895c-95a689346a09,8f402c40-d63e-4185-ab26-2475a4f83e77,PROD-33,2,68.39,2024-10-12,pending
32fc169b-f668-491c-baba-e9590af860d6,5f84b4e0-d5fa-4f29-a4c2-6ce8c6dd083b,PROD-128,3,57.98,2024-09-04,pending
58ff598d-5169-4146-92f8-3b5c91d5e8ff,8e3dec51-60dc-4390-8564-9d32ccbc0b9f,PROD-169,3,390.55,2024-10-07,shipped
ab184099-377f-4185-87a3-ea6a63894a0c,8a1745aa-d1e4-4596-a02a-e5d9cd402691,PROD-36,2,75.97,2026-01-27,refunded
31a7503b-9854-4095-bc2e-3806c5cbafc1,c1225dde-6733-4eba-8609-0c817d64c921,PROD-45,5,95.29,2025-07-19,pending
4a1c7b6a-7feb-48a3-8060-d101e9342f41,d1a3cd89-2f13-4d59-b52b-ba191b58396a,PROD-28,5,268.25,2025-06-18,pending
ce4e342c-6558-4457-9dc3-4172cbb3ecfb,0dcb6b9c-d831-4f43-8cc2-64fb8048471e,PROD-103,4,319.55,2025-10-24,completed
4553679c-0527-4a34-a594-f431f5ca723c,1dd0f5b2-31bb-4594-bb0d-b0ec309b3457,PROD-70,4,366.82,2025-08-06,refunded
83860c38-f220-4ac4-9b4f-c91980d9065b,01f5ccbb-c53f-459a-94f2-44667d7168e3,PROD-132,4,273.01,2025-01-25,completed
1c81a628-b3b6-4adb-8212-1ec150abdc0e,0580a033-a450-4bcd-8e19-041088d171ba,PROD-119,1,13.83,2024-10-05,refunded
fc2559f8-cea8-470d-a41b-0209a7480891,283487cb-3103-4a3a-9612-9ef233ad22aa,PROD-74,4,387.62,2025-02-07,completed
d7867cee-df87-4a4f-b5f1-98b5cd3624f0,0ff7e25d-074b-4b4a-a94f-9398299406c1,PROD-193,4,7.91,2025-11-19,pending
54ecd065-7439-46c7-90d7-6fa42cbc5478,4a075259-3947-4efd-b695-1cc69087164c,PROD-79,5,101.92,2024-08-20,refunded
f5e2b054-d89c-4b2a-8b67-03a63b58e496,eacfd30d-03fb-4fc6-8df8-77ff21d53a34,PROD-159,2,246.79,2024-11-15,completed
96434052-cccf-430e-b05c-4806d070fe58,da7a3fbc-1572-4d16-abbc-87808b43899d,PROD-78,2,57.03,2025-12-24,pending
66b1d697-cbe9-40ab-ae5c-2961f8e2e8f6,4dd0a567-fdf1-4921-aa9a-bd9f3dd34e89,PROD-134,1,125.04,2025-12-03,pending
22a099d9-73b8-4825-8e71-dd4b96e2acd8,ffc691ea-ce64-422d-b7b8-2d98e362aae5,PROD-118,2,117.26,2025-08-28,shipped
b5375d9c-13c8-4f79-b0a9-b466b8dbd12b,12a078be-b943-4826-ae69-6175ec27c6fe,PROD-92,5,295.56,2024-09-07,shipped
05af85ec-d81b-409d-a848-04dbd38cc7f3,e100b207-7788-41ec-96ff-2072d99eb6bb,PROD-143,2,419.75,2024-09-24,pending
264350b4-cb55-4336-a147-aa32a81516a4,a9f97b45-cb2f-478a-abbb-10443b2ce7bb,PROD-107,2,497.33,2026-01-31,refunded
85e747b0-297d-409b-9e46-e04617de94dc,d4c114ee-82ea-48a5-a1da-562de5b40785,PROD-28,1,13.95,2025-11-26,pending
60190540-ccf6-4b78-9c5b-28c0ebe8d67b,c8d253a2-a929-449e-bfb1-706a7eec5f76,PROD-160,1,195.54,2024-04-17,shipped
96265674-ef7f-46f4-8b23-2898b48958b3,19cfb3f6-ae3b-4955-959c-b0c58d3d4bed,PROD-22,4,383.47,2024-05-24,completed
d930e907-2bf9-4928-b2f8-c586ad527bcb,4fa0f1c1-e55b-43e9-b833-135ac02aa2f4,PROD-51,3,154.01,2025-03-10,pending
f9052116-5f54-479c-a5b1-905f5563f467,680c65aa-dda8-494a-b82e-e7e694dd7277,PROD-159,5,494.44,2024-09-28,refunded
557744e8-93c4-4d47-a59d-b56d987797be,a9c0dceb-b961-44dc-8adb-0e823a4d4860,PROD-116,5,302.02,2025-10-26,completed
5e7c37e9-d324-4abc-bc70-17b780cb5fd0,bbed1712-d361-4a47-98e7-23f1c8a52351,PROD-112,4,397.93,2024-07-18,pending
564bad9b-f9b3-496b-a3e3-dce633fff626,31301ce0-f9b5-41ec-9a91-db9359197eb3,PROD-132,1,313.72,2025-10-16,shipped
1e067326-c0e5-42a9-add6-4b7cb6879950,c7895e29-4b12-48a2-9eb6-cee423e08a5e,PROD-139,5,338.9,2024-11-06,shipped
bf3952dc-4178-4369-bbbf-09698df3b4d0,a3aea7bb-e89d-46c5-9567-07ce9e0c72a5,PROD-142,2,212.29,2025-02-22,shipped
0288596b-3467-42a8-911a-5f28c316609b,fef64b23-8790-4b82-9f0a-0bbbb73275f8,PROD-24,2,421.73,2025-12-04,refunded
8ca765d5-3079-4a53-9ea5-c0220527259d,15ccba4c-f441-401e-8824-163f432065fa,PROD-189,4,449.08,2024-12-24,refunded
d40d954a-496e-499f-9ac0-f0a19f993288,b5d1b7ef-c62a-4ec7-8836-c8f7c135aab5,PROD-142,5,244.87,2024-07-31,shipped
941dd71b-9fca-4840-b533-84c2f5735a98,b1623c28-ae3e-4341-b4c8-abf5fcd4d821,PROD-130,3,321.33,2025-05-14,refunded
7eb302ac-4d15-4056-b743-cc219883bd3d,919c6898-e1b7-4ed7-aa40-c2a2de49bc89,PROD-60,2,384.37,2024-09-11,pending
8dca5b89-7979-4606-8974-4e97d22cd792,c357e067-181d-4667-bf3d-5a5a4d67ea3d,PROD-175,1,51.97,2025-09-10,refunded
35d112bd-dabd-4881-9b71-d909bd38002f,a63324d1-4d2f-427c-986b-09d7c1502a4b,PROD-82,2,428.18,2025-09-11,completed
59b4a4ba-6002-4767-a4e1-0bd54e43b49f,99496c1a-e4b2-41ff-867a-044b82c95edd,PROD-131,5,418.74,2025-08-14,shipped
0a1a72ec-048b-4507-9d43-d39aeccbb381,cd134b2e-bc82-47a7-a69a-b293fa9e3cad,PROD-190,1,180.4,2026-01-11,completed
456ae714-12bd-4710-9e27-8288e161045b,2c1831f5-5e67-4b18-926b-37cd29e697db,PROD-44,1,296.21,2024-11-05,shipped
7b3314e9-68d1-4493-9419-2d8f748c8052,cd543b45-4cea-4b6d-895f-d0adb59cfa06,PROD-111,4,375.14,2025-01-08,completed
220f8c97-8f5c-4612-812c-fb5de925b895,7a1ca203-1010-4eb8-8adb-494415075140,PROD-51,3,115.21,2025-12-29,pending
